likes,comment,share,followers,engagement rate,date,month,year,time,average likes,comment ratio,average comments
1199,788,262,661333,9.27,28/05/2020,July,2020,20:45,9368,0.48,428
5813,328,488,821988,4.24,23/02/2022,September,2022,8:20,4790,0.64,164
928,412,250,487537,8.56,27/07/2022,May,2022,7:32,7212,0.89,665
9457,269,43,586685,2.61,17/11/2020,September,2022,18:29,35,0.97,149
5029,423,310,422932,9.27,03/03/2022,December,2021,22:53,8715,0.45,787
3719,348,183,844712,4.94,08/11/2022,March,2020,1:00,8065,0.97,13
6750,823,168,448934,9.58,21/01/2021,June,2022,2:29,4375,0.99,883
5079,586,204,742255,4.15,19/12/2022,March,2021,15:52,7234,0.85,538
5514,260,317,124677,6.48,14/05/2022,May,2020,10:16,9077,0.81,835
4462,52,188,302548,4.85,14/05/2021,February,2021,7:52,7663,0.13,412
37,945,167,218751,3.13,18/11/2022,July,2021,5:29,4309,0.17,433
8210,587,394,304767,5.45,17/10/2020,August,2020,5:46,4619,0.64,478
749,50,66,888994,5.85,18/07/2021,August,2021,1:31,6010,0.25,852
3152,413,74,946572,4.87,20/09/2022,June,2021,4:55,2202,0.3,990
1013,149,497,741064,9.28,17/09/2022,July,2020,2:58,9768,0.36,663
5373,926,404,543824,8.95,02/08/2022,January,2022,14:39,6638,0.54,653
8780,63,53,600145,7.41,13/08/2021,May,2020,0:43,1291,0.28,834
624,263,362,797280,5.85,10/04/2022,June,2020,5:14,9806,0.08,422
6016,305,454,368033,9.88,06/10/2020,May,2022,18:33,8232,0.89,114
9144,819,338,769220,8.55,22/10/2022,June,2022,15:36,5159,0.05,389
5806,680,28,800697,9.94,26/10/2020,September,2020,15:51,2455,0.09,790
8970,460,490,815164,4.88,30/10/2021,November,2022,2:41,9729,0.32,441
5575,509,307,406607,7.0,06/04/2022,October,2020,14:19,1143,0.46,395
5774,834,490,438228,5.93,27/04/2022,November,2022,12:40,4898,0.36,736
8980,180,169,726971,2.86,16/09/2020,August,2021,11:58,1308,0.66,55
4288,946,180,478295,2.45,23/11/2020,April,2021,2:45,5421,0.48,876
6142,22,140,938296,3.41,20/03/2022,March,2021,22:58,4331,0.7,766
562,765,284,181319,6.72,03/03/2021,November,2022,0:15,5231,0.15,7
9126,284,463,513279,8.49,14/02/2020,February,2020,9:45,9707,0.22,198
7952,1000,152,339476,2.63,17/04/2022,November,2020,4:19,2109,0.84,694
7779,257,115,737310,4.74,17/06/2021,September,2022,22:31,3050,0.89,772
4609,833,188,197030,8.65,30/01/2021,October,2020,17:41,8430,0.21,487
8122,634,313,311666,3.19,23/01/2022,December,2022,21:00,5526,0.2,630
5738,958,53,915815,9.03,30/10/2022,May,2022,11:31,6581,0.31,295
7858,68,115,504667,7.39,15/06/2020,March,2020,4:30,5061,0.36,663
5930,678,4,354036,0.43,28/12/2021,April,2021,16:47,408,0.37,75
9475,291,447,573930,2.8,20/06/2020,June,2020,6:32,5135,0.41,659
6525,652,351,870851,2.55,18/11/2021,April,2020,8:37,9606,0.62,532
5950,495,118,690003,0.73,27/08/2022,March,2021,9:37,3840,0.66,311
7606,693,488,351782,4.76,05/06/2020,September,2022,4:10,6801,0.25,695
8640,710,378,431800,2.29,30/06/2020,May,2022,19:48,4030,0.52,92
8417,40,313,15679,1.94,25/09/2022,November,2022,3:54,260,0.22,342
7356,769,246,881176,0.77,13/04/2021,November,2020,17:20,8501,0.94,122
231,693,140,348132,9.88,19/12/2020,November,2020,0:22,7417,0.2,94
2210,102,36,229924,8.16,05/04/2020,January,2022,19:26,8563,0.79,640
9610,623,18,563215,2.06,20/02/2021,May,2021,7:52,516,0.94,183
3405,839,168,349656,2.34,19/10/2020,March,2020,0:55,7439,0.09,173
7662,825,142,463289,7.52,04/09/2020,April,2021,9:56,4523,0.74,483
5970,706,490,347958,7.93,12/01/2020,October,2022,11:52,5877,0.3,501
2796,455,476,485800,2.23,14/06/2022,June,2022,12:58,2411,0.36,188
8790,880,187,413326,1.85,22/05/2022,September,2020,17:13,2888,0.87,661
5405,154,144,458057,0.81,02/12/2021,April,2020,4:35,1476,0.48,30
893,670,439,705118,2.14,25/08/2020,November,2022,6:26,4242,0.61,875
6913,784,171,894048,7.39,24/06/2020,October,2021,11:27,2871,0.29,611
5438,437,429,630786,0.9,01/04/2020,July,2020,21:49,5666,0.63,921
7289,270,110,503761,9.95,28/05/2021,October,2021,23:02,3766,0.52,785
6299,802,118,45683,1.95,31/07/2022,March,2022,17:33,4700,0.52,928
9225,450,450,101236,4.87,11/04/2022,September,2021,5:44,829,0.22,682
9202,496,40,838836,1.73,25/04/2022,December,2020,18:20,4758,0.73,806
5229,16,42,321363,0.44,14/09/2021,July,2021,0:05,8282,0.99,785
6144,681,28,155962,4.74,04/05/2022,October,2022,13:50,3296,0.87,563
6511,614,340,920585,0.06,19/05/2020,July,2020,17:50,7606,0.63,608
6372,925,163,870676,7.36,06/04/2020,January,2021,20:36,5503,0.06,19
5370,110,156,610822,4.76,12/06/2020,December,2022,23:45,4386,0.86,926
2428,324,135,614509,8.08,03/02/2021,June,2020,22:16,430,0.2,152
1797,423,332,998684,9.92,13/01/2021,December,2020,23:08,4904,0.88,397
3139,270,428,818115,0.24,28/08/2021,October,2022,1:17,8959,0.56,733
9049,448,443,671494,2.89,06/06/2022,June,2020,23:24,9445,0.68,605
8476,464,475,937693,8.39,21/06/2022,May,2020,18:47,4252,0.21,77
5211,340,495,643221,0.35,17/02/2022,June,2022,11:05,9696,0.44,391
2065,909,111,366352,3.49,27/11/2020,November,2020,5:37,5929,0.4,537
5470,979,285,156951,0.76,09/01/2022,May,2022,2:33,5871,0.08,504
8392,124,477,91154,6.71,11/05/2022,August,2022,12:33,2381,0.51,768
826,258,408,837831,9.8,31/07/2022,April,2021,16:21,7391,0.12,680
101,810,409,356026,5.36,02/10/2020,February,2021,19:18,2072,0.21,550
3151,172,265,390685,0.04,19/06/2020,October,2020,6:16,9773,0.29,259
1593,791,253,494399,5.5,31/07/2022,March,2022,1:40,5654,0.78,128
6835,522,290,382898,3.27,21/01/2021,July,2020,10:20,7816,0.33,148
5278,674,136,101865,8.15,20/05/2020,April,2020,16:18,6703,0.73,549
2522,49,412,111541,4.16,11/07/2020,November,2020,20:47,951,0.04,884
4067,267,377,504987,5.58,31/07/2022,February,2021,12:38,6483,0.73,11
6003,672,130,867033,8.5,26/04/2021,May,2022,23:39,3633,0.57,661
9188,166,498,912597,4.04,20/10/2021,August,2021,20:35,1928,0.92,59
5024,923,336,586763,0.91,29/11/2021,January,2021,18:21,1632,0.67,9
1805,831,449,863640,9.26,16/09/2020,October,2021,23:54,9607,0.26,736
6902,115,208,869976,0.73,28/12/2022,May,2022,1:31,3709,0.78,743
6298,863,166,938161,5.99,12/08/2022,August,2021,3:26,3529,0.9,55
5174,805,289,188931,5.21,29/11/2022,September,2022,10:38,7983,0.64,73
1179,307,263,375900,5.65,02/09/2020,October,2022,21:43,6820,0.07,904
8442,657,152,731496,9.97,20/06/2022,December,2020,20:59,9612,0.03,245
7456,666,409,718463,0.85,14/08/2022,February,2020,0:15,4865,0.96,106
1438,635,96,645709,1.41,14/11/2022,May,2020,13:36,7836,0.2,741
4999,720,315,593821,5.48,17/01/2020,June,2021,8:04,1218,0.97,235
9187,487,301,460972,7.7,01/07/2020,March,2020,15:26,8542,0.49,946
3015,173,332,799793,4.54,24/05/2021,August,2020,4:26,638,0.45,966
6008,653,321,102038,1.35,07/01/2021,April,2020,22:27,155,0.62,81
3423,811,497,695308,8.36,12/03/2022,July,2020,1:32,9170,0.36,356
694,230,411,692974,6.42,12/01/2021,July,2022,10:55,1050,0.61,942
9174,743,89,249193,0.2,01/08/2020,June,2021,11:43,6531,0.5,296
7163,1000,461,546401,0.63,17/02/2020,November,2022,22:03,6531,0.95,941
112,387,336,478976,7.62,13/01/2020,December,2021,6:06,6123,0.32,625
7721,157,265,560794,3.42,13/09/2020,February,2020,2:05,8014,0.06,403
6730,11,429,77726,3.06,03/10/2020,April,2021,2:54,6932,0.9,844
5598,664,139,881698,3.55,22/05/2021,May,2020,0:55,8221,0.8,17
1591,309,238,411073,2.0,08/01/2022,March,2021,10:54,3460,0.88,295
2328,197,225,762367,1.22,22/03/2021,October,2022,3:32,8465,0.87,414
3594,796,70,826945,0.37,01/07/2021,August,2022,5:00,3137,0.89,442
4381,94,304,853173,5.89,13/10/2020,February,2020,12:39,592,0.85,648
9801,400,291,291856,4.0,19/02/2021,January,2020,3:02,1734,0.13,71
3707,51,496,825857,8.01,06/01/2020,October,2021,22:40,985,0.49,48
630,363,204,24919,6.78,18/08/2020,December,2020,18:00,9496,0.81,791
9811,781,18,921800,5.94,25/07/2022,August,2021,21:38,8624,0.5,306
3271,75,455,870082,7.12,08/11/2022,July,2020,7:34,9430,0.34,777
5087,940,295,997017,3.22,05/02/2022,April,2021,9:39,9790,0.3,888
1965,832,462,858935,2.73,10/08/2020,October,2021,9:25,2130,0.25,150
3792,888,340,513203,9.85,30/11/2020,May,2021,22:53,7067,0.7,583
7051,348,366,138925,8.45,03/12/2020,March,2020,7:08,4975,0.47,983
9698,533,350,118974,9.75,09/03/2021,January,2022,15:48,2421,0.34,917
7347,584,412,276423,2.91,29/01/2021,June,2022,14:52,3998,0.94,710
4402,108,36,369579,2.63,08/09/2020,December,2021,22:31,2240,0.63,259
5975,632,499,227097,2.25,10/07/2020,November,2021,19:57,3309,0.86,124
1345,633,373,608503,2.65,06/05/2022,August,2020,4:55,9316,0.23,922
805,725,486,912286,0.64,18/07/2021,August,2022,22:12,5402,0.3,688
1749,5,472,203150,5.25,15/05/2022,June,2022,10:29,1234,0.31,40
549,453,408,431377,2.16,11/01/2021,January,2021,8:02,9803,0.82,231
2919,1,70,96288,8.32,22/08/2021,October,2022,12:48,9932,0.66,720
4131,613,465,769105,9.58,01/04/2021,October,2021,20:06,1921,0.81,334
7860,521,263,601417,9.88,18/05/2021,April,2021,21:31,6273,0.3,69
9285,807,15,565993,7.02,11/06/2020,June,2022,22:58,1812,0.61,445
4723,837,97,644334,8.41,24/07/2021,February,2021,17:05,6249,0.09,412
2005,415,111,622896,0.48,03/10/2021,December,2022,7:20,8267,0.91,948
4176,769,16,43160,8.42,27/07/2020,June,2022,19:21,6275,0.71,868
2069,563,302,931602,9.01,28/07/2021,August,2020,7:42,6798,0.96,177
6268,275,94,132731,4.16,15/06/2020,May,2021,18:48,5951,0.28,494
9569,957,269,401660,2.93,08/03/2022,May,2021,3:29,6050,0.54,3
317,147,369,542655,5.63,05/05/2021,May,2022,11:44,7814,0.83,102
8811,287,389,438322,1.29,23/08/2022,June,2022,12:33,5586,0.73,774
8596,267,17,780538,7.05,02/07/2021,February,2021,19:18,3092,0.93,894
7747,725,114,952465,0.07,14/03/2022,January,2020,9:15,4111,0.75,404
8636,963,25,201554,7.2,17/07/2021,June,2022,3:02,8373,0.34,14
1443,517,217,758238,0.39,14/01/2021,December,2022,19:18,924,0.4,712
7059,346,260,626485,0.95,23/02/2022,September,2020,22:29,4840,0.15,659
2373,543,27,659253,8.3,22/09/2021,June,2021,0:24,189,0.75,232
4638,995,331,564559,5.88,05/12/2021,February,2021,16:51,2704,0.15,720
8372,455,452,844633,6.73,12/03/2021,August,2022,13:37,4458,0.99,151
386,18,294,657167,1.13,20/10/2022,July,2020,18:04,124,0.47,881
7881,275,156,107320,9.78,14/04/2021,July,2020,9:23,3947,0.03,392
2981,842,228,377504,4.88,14/11/2021,August,2021,15:16,5789,0.04,123
857,830,165,50998,0.42,21/09/2022,October,2022,1:09,3871,0.93,117
1693,751,426,880128,3.52,05/09/2021,November,2022,7:04,2007,0.25,167
9464,651,437,879859,9.98,13/01/2021,September,2020,10:11,6085,0.38,868
2444,974,363,489200,5.63,03/10/2021,September,2020,10:44,3095,0.32,624
3405,268,168,819580,9.3,08/05/2022,September,2022,4:04,1887,0.05,520
4458,358,105,558507,1.97,21/11/2021,August,2021,21:51,4051,0.19,176
